name,price,Discount
Jameson Jameson Irish Whiskey - 750 Ml,"KSh 1,001",19%
"Tecno POP 8, 6.6"", 128GB ROM+ 4GB RAM+ (4GB RAM Extended), 13MP, 4G (Dual SIM) 5000MAh - Gravity Black","KSh 90,000",49%
Nunix Nunix 7.5KG Twins Tub Washing Machine,"KSh 1,170",21%
"NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum, 30ml & Day Cream, 40ml","KSh 3,465",5%
"Vitron VB-815 - 2in1 Blender - 1.5L - 350W - White & Blue, (1YR WRTY)","KSh 1,421",6%
Rashnik Steel Cloth Drying Foldable Stand with Infinity Hooks,KSh 780,5%
Ramtons RM/553 - 21 Litre Tank Wet And Dry Vacuum Cleaner - Black (1YR WRTY),"KSh 28,380",21%
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Liters - Silver (1YR WRTY),"KSh 3,685",8%
NIVEA NIVEA SUN UV Face Blemish Control - 40ml,"KSh 22,550",12%
Oraimo Data Cable OCD-M53 2A 1M Black,"KSh 1,680",51%
"Tecno POP 8, 6.6"", 128GB + 4GB RAM (Extended to 8GB), 13MP, 4G (Dual SIM), 5000MAh - Mystery White","KSh 2,199",26%
Fay Fay Kitchen Towels Twin Pack,"KSh 11,800",19%
Nunix Nunix 100 Litres Freezer Fridge,"KSh 19,250",29%
NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum - 30ml-pack Of 2,"KSh 4,769",23%
Ballantine's Ballantine's Blended Scotch Whiskey - 750 Ml.,"KSh 1,660",15%
Oraimo Cannon 2 Pro 18W Fast Charging Charger Kit + Type-C Cable,"KSh 1,540",11%
Oraimo OEP-650 Halo Airy Wired Earphone - Black,"KSh 12,434",23%
Nunix NU-9090B 5.1 Woofer/mini Home Theatre Speaker System,"KSh 36,877",20%
Ramtons RF/130- 213l 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),"KSh 1,600",21%
Dettol Dettol Soap Herbal 175g,KSh 95,25%
Absolut Absolut Vodka Blue - 750ml,"KSh 11,800",25%
Sundabest Plain White Decorated Dinner Plates 6 Pcs (311009774),KSh 332,6%
Durex Play Tingle Lubricant - 50ml,"KSh 24,150",25%
Oraimo 18W Dual Output 3 Ways Play Music Digital Display,"KSh 5,381",9%
"Vitron V636, 3.1CH Multimedia Bluetooth Speaker System - Black","KSh 1,999",15%
"Gld 32"" Smart Frameless HD LED Television - Black.",KSh 520,46%
"Royal 43"" Smart Frameless Full HD LED Television - Black.",KSh 367,8%
"Amtec AM-732 3.1CH Subwoofer Bluetooth System, FM/USB/SD - Black (1YR WRTY)","KSh 12,699",12%
Vitron V837 3.1 Inch Bluetooth Speaker System (1YR WRTY),"KSh 47,442",25%
"Oppo A58, 6.72'',50MP, 8GB+128GB, 4G, 5000mAh, Dual Stereo Speakers (Dual Sim)- Dazzling Green, (2YRs WRTY)",KSh 284,47%
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,"KSh 1,949",16%
Starlink Standard Actuated Kit,KSh 826,9%
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),"KSh 1,056",2%
Nunix K1S Hot & Normal Standing Water Dispenser – White,KSh 900,4%
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,"KSh 5,950",19%
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)","KSh 13,696",49%
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)","KSh 21,196",21%
Nunix Free standing Hot and Normal -Q7n White,"KSh 6,550",5%
"Nunix 50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven(1YR WRTY)","KSh 7,660",6%
Nunix AK-105 - 2 In 1 Blender With Grinding Machine – 350W -  1.5L – Black,"KSh 26,598",5%
Jameson Jameson Irish Whiskey - 750 Ml,"KSh 1,001",21%
"Tecno POP 8, 6.6"", 128GB ROM+ 4GB RAM+ (4GB RAM Extended), 13MP, 4G (Dual SIM) 5000MAh - Gravity Black","KSh 90,000",8%
Nunix Nunix 7.5KG Twins Tub Washing Machine,"KSh 16,999",12%
"NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum, 30ml & Day Cream, 40ml",KSh 929,51%
"Vitron VB-815 - 2in1 Blender - 1.5L - 350W - White & Blue, (1YR WRTY)","KSh 16,450",26%
Rashnik Steel Cloth Drying Foldable Stand with Infinity Hooks,"KSh 3,699",19%
Ramtons RM/553 - 21 Litre Tank Wet And Dry Vacuum Cleaner - Black (1YR WRTY),"KSh 1,421",29%
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Liters - Silver (1YR WRTY),"KSh 1,110",23%
NIVEA NIVEA SUN UV Face Blemish Control - 40ml,"KSh 16,999",15%
Oraimo Data Cable OCD-M53 2A 1M Black,"KSh 1,550",11%
"Tecno POP 8, 6.6"", 128GB + 4GB RAM (Extended to 8GB), 13MP, 4G (Dual SIM), 5000MAh - Mystery White","KSh 1,170",23%
Fay Fay Kitchen Towels Twin Pack,"KSh 13,995",20%
Nunix Nunix 100 Litres Freezer Fridge,"KSh 1,699",21%
NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum - 30ml-pack Of 2,"KSh 1,050",25%
Ballantine's Ballantine's Blended Scotch Whiskey - 750 Ml.,"KSh 13,345",25%
Oraimo Cannon 2 Pro 18W Fast Charging Charger Kit + Type-C Cable,"KSh 1,001",6%
Oraimo OEP-650 Halo Airy Wired Earphone - Black,"KSh 90,000",25%
Nunix NU-9090B 5.1 Woofer/mini Home Theatre Speaker System,"KSh 1,170",9%
Ramtons RF/130- 213l 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),"KSh 3,465",15%
Dettol Dettol Soap Herbal 175g,"KSh 1,421",46%
Absolut Absolut Vodka Blue - 750ml,KSh 780,8%
Sundabest Plain White Decorated Dinner Plates 6 Pcs (311009774),"KSh 28,380",12%
Durex Play Tingle Lubricant - 50ml,"KSh 3,685",25%
Oraimo 18W Dual Output 3 Ways Play Music Digital Display,"KSh 22,550",47%
"Vitron V636, 3.1CH Multimedia Bluetooth Speaker System - Black","KSh 1,680",16%
"Gld 32"" Smart Frameless HD LED Television - Black.","KSh 2,199",9%
"Royal 43"" Smart Frameless Full HD LED Television - Black.","KSh 11,800",2%
"Amtec AM-732 3.1CH Subwoofer Bluetooth System, FM/USB/SD - Black (1YR WRTY)","KSh 19,250",4%
Vitron V837 3.1 Inch Bluetooth Speaker System (1YR WRTY),"KSh 4,769",19%
"Oppo A58, 6.72'',50MP, 8GB+128GB, 4G, 5000mAh, Dual Stereo Speakers (Dual Sim)- Dazzling Green, (2YRs WRTY)","KSh 1,660",49%
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,"KSh 1,540",21%
Starlink Standard Actuated Kit,"KSh 12,434",5%
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),"KSh 36,877",6%
Nunix K1S Hot & Normal Standing Water Dispenser – White,"KSh 1,600",5%
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,KSh 95,21%
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)","KSh 11,800",8%
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)",KSh 332,12%
Nunix Free standing Hot and Normal -Q7n White,"KSh 24,150",51%
"Nunix 50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven(1YR WRTY)","KSh 5,381",26%
Nunix AK-105 - 2 In 1 Blender With Grinding Machine – 350W -  1.5L – Black,"KSh 1,999",19%
Jameson Jameson Irish Whiskey - 750 Ml,KSh 520,29%
"Tecno POP 8, 6.6"", 128GB ROM+ 4GB RAM+ (4GB RAM Extended), 13MP, 4G (Dual SIM) 5000MAh - Gravity Black",KSh 367,23%
Nunix Nunix 7.5KG Twins Tub Washing Machine,"KSh 12,699",15%
"NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum, 30ml & Day Cream, 40ml","KSh 47,442",11%
"Vitron VB-815 - 2in1 Blender - 1.5L - 350W - White & Blue, (1YR WRTY)",KSh 284,23%
Rashnik Steel Cloth Drying Foldable Stand with Infinity Hooks,"KSh 1,949",20%
Ramtons RM/553 - 21 Litre Tank Wet And Dry Vacuum Cleaner - Black (1YR WRTY),KSh 826,21%
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Liters - Silver (1YR WRTY),"KSh 1,056",25%
NIVEA NIVEA SUN UV Face Blemish Control - 40ml,KSh 900,25%
Oraimo Data Cable OCD-M53 2A 1M Black,"KSh 5,950",6%
"Tecno POP 8, 6.6"", 128GB + 4GB RAM (Extended to 8GB), 13MP, 4G (Dual SIM), 5000MAh - Mystery White","KSh 13,696",25%
Fay Fay Kitchen Towels Twin Pack,"KSh 21,196",9%
Nunix Nunix 100 Litres Freezer Fridge,"KSh 6,550",15%
NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum - 30ml-pack Of 2,"KSh 7,660",46%
Ballantine's Ballantine's Blended Scotch Whiskey - 750 Ml.,"KSh 26,598",8%
Oraimo Cannon 2 Pro 18W Fast Charging Charger Kit + Type-C Cable,"KSh 1,001",12%
Oraimo OEP-650 Halo Airy Wired Earphone - Black,"KSh 90,000",25%
Nunix NU-9090B 5.1 Woofer/mini Home Theatre Speaker System,"KSh 16,999",47%
Ramtons RF/130- 213l 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),KSh 929,16%
Dettol Dettol Soap Herbal 175g,"KSh 16,450",9%
Absolut Absolut Vodka Blue - 750ml,"KSh 3,699",2%
Sundabest Plain White Decorated Dinner Plates 6 Pcs (311009774),"KSh 1,421",4%
Durex Play Tingle Lubricant - 50ml,"KSh 1,110",19%
Oraimo 18W Dual Output 3 Ways Play Music Digital Display,"KSh 16,999",49%
"Vitron V636, 3.1CH Multimedia Bluetooth Speaker System - Black","KSh 1,550",21%
"Gld 32"" Smart Frameless HD LED Television - Black.","KSh 1,170",5%
"Royal 43"" Smart Frameless Full HD LED Television - Black.","KSh 13,995",6%
"Amtec AM-732 3.1CH Subwoofer Bluetooth System, FM/USB/SD - Black (1YR WRTY)","KSh 1,699",5%
Vitron V837 3.1 Inch Bluetooth Speaker System (1YR WRTY),"KSh 1,050",21%
"Oppo A58, 6.72'',50MP, 8GB+128GB, 4G, 5000mAh, Dual Stereo Speakers (Dual Sim)- Dazzling Green, (2YRs WRTY)","KSh 13,345",8%
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,"KSh 1,001",12%
Starlink Standard Actuated Kit,"KSh 90,000",51%
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),"KSh 1,170",26%
Nunix K1S Hot & Normal Standing Water Dispenser – White,"KSh 3,465",19%
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,"KSh 1,421",29%
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)",KSh 780,23%
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)","KSh 28,380",15%
Nunix Free standing Hot and Normal -Q7n White,"KSh 3,685",11%
"Nunix 50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven(1YR WRTY)","KSh 22,550",23%
Nunix AK-105 - 2 In 1 Blender With Grinding Machine – 350W -  1.5L – Black,"KSh 1,680",20%
Jameson Jameson Irish Whiskey - 750 Ml,"KSh 2,199",21%
"Tecno POP 8, 6.6"", 128GB ROM+ 4GB RAM+ (4GB RAM Extended), 13MP, 4G (Dual SIM) 5000MAh - Gravity Black","KSh 11,800",25%
Nunix Nunix 7.5KG Twins Tub Washing Machine,"KSh 19,250",25%
"NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum, 30ml & Day Cream, 40ml","KSh 4,769",6%
"Vitron VB-815 - 2in1 Blender - 1.5L - 350W - White & Blue, (1YR WRTY)","KSh 1,660",25%
Rashnik Steel Cloth Drying Foldable Stand with Infinity Hooks,"KSh 1,540",9%
Ramtons RM/553 - 21 Litre Tank Wet And Dry Vacuum Cleaner - Black (1YR WRTY),"KSh 12,434",15%
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Liters - Silver (1YR WRTY),"KSh 36,877",46%
NIVEA NIVEA SUN UV Face Blemish Control - 40ml,"KSh 1,600",8%
Oraimo Data Cable OCD-M53 2A 1M Black,KSh 95,12%
"Tecno POP 8, 6.6"", 128GB + 4GB RAM (Extended to 8GB), 13MP, 4G (Dual SIM), 5000MAh - Mystery White","KSh 11,800",25%
Fay Fay Kitchen Towels Twin Pack,KSh 332,47%
Nunix Nunix 100 Litres Freezer Fridge,"KSh 24,150",16%
NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum - 30ml-pack Of 2,"KSh 5,381",9%
Ballantine's Ballantine's Blended Scotch Whiskey - 750 Ml.,"KSh 1,999",2%
Oraimo Cannon 2 Pro 18W Fast Charging Charger Kit + Type-C Cable,KSh 520,4%
Oraimo OEP-650 Halo Airy Wired Earphone - Black,KSh 367,19%
Nunix NU-9090B 5.1 Woofer/mini Home Theatre Speaker System,"KSh 12,699",49%
Ramtons RF/130- 213l 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),"KSh 47,442",21%
Dettol Dettol Soap Herbal 175g,KSh 284,5%
Absolut Absolut Vodka Blue - 750ml,"KSh 1,949",6%
Sundabest Plain White Decorated Dinner Plates 6 Pcs (311009774),KSh 826,5%
Durex Play Tingle Lubricant - 50ml,"KSh 1,056",21%
Oraimo 18W Dual Output 3 Ways Play Music Digital Display,KSh 900,8%
"Vitron V636, 3.1CH Multimedia Bluetooth Speaker System - Black","KSh 5,950",12%
"Gld 32"" Smart Frameless HD LED Television - Black.","KSh 13,696",51%
"Royal 43"" Smart Frameless Full HD LED Television - Black.","KSh 21,196",26%
"Amtec AM-732 3.1CH Subwoofer Bluetooth System, FM/USB/SD - Black (1YR WRTY)","KSh 6,550",19%
Vitron V837 3.1 Inch Bluetooth Speaker System (1YR WRTY),"KSh 7,660",29%
"Oppo A58, 6.72'',50MP, 8GB+128GB, 4G, 5000mAh, Dual Stereo Speakers (Dual Sim)- Dazzling Green, (2YRs WRTY)","KSh 26,598",23%
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,"KSh 1,001",15%
Starlink Standard Actuated Kit,"KSh 90,000",11%
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),"KSh 16,999",23%
Nunix K1S Hot & Normal Standing Water Dispenser – White,KSh 929,20%
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,"KSh 16,450",21%
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)","KSh 3,699",25%
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)","KSh 1,421",25%
Nunix Free standing Hot and Normal -Q7n White,"KSh 1,110",6%
"Nunix 50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven(1YR WRTY)","KSh 16,999",25%
Nunix AK-105 - 2 In 1 Blender With Grinding Machine – 350W -  1.5L – Black,"KSh 1,550",9%
Jameson Jameson Irish Whiskey - 750 Ml,"KSh 1,170",15%
"Tecno POP 8, 6.6"", 128GB ROM+ 4GB RAM+ (4GB RAM Extended), 13MP, 4G (Dual SIM) 5000MAh - Gravity Black","KSh 13,995",46%
Nunix Nunix 7.5KG Twins Tub Washing Machine,"KSh 1,699",8%
"NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum, 30ml & Day Cream, 40ml","KSh 1,050",12%
"Vitron VB-815 - 2in1 Blender - 1.5L - 350W - White & Blue, (1YR WRTY)","KSh 13,345",25%
Rashnik Steel Cloth Drying Foldable Stand with Infinity Hooks,"KSh 1,001",47%
Ramtons RM/553 - 21 Litre Tank Wet And Dry Vacuum Cleaner - Black (1YR WRTY),"KSh 90,000",16%
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Liters - Silver (1YR WRTY),"KSh 1,170",9%
NIVEA NIVEA SUN UV Face Blemish Control - 40ml,"KSh 3,465",2%
Oraimo Data Cable OCD-M53 2A 1M Black,"KSh 1,421",4%
"Tecno POP 8, 6.6"", 128GB + 4GB RAM (Extended to 8GB), 13MP, 4G (Dual SIM), 5000MAh - Mystery White",KSh 780,19%
Fay Fay Kitchen Towels Twin Pack,"KSh 28,380",49%
Nunix Nunix 100 Litres Freezer Fridge,"KSh 3,685",21%
NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum - 30ml-pack Of 2,"KSh 22,550",5%
Ballantine's Ballantine's Blended Scotch Whiskey - 750 Ml.,"KSh 1,680",6%
Oraimo Cannon 2 Pro 18W Fast Charging Charger Kit + Type-C Cable,"KSh 2,199",5%
Oraimo OEP-650 Halo Airy Wired Earphone - Black,"KSh 11,800",21%
Nunix NU-9090B 5.1 Woofer/mini Home Theatre Speaker System,"KSh 19,250",8%
Ramtons RF/130- 213l 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),"KSh 4,769",12%
Dettol Dettol Soap Herbal 175g,"KSh 1,660",51%
Absolut Absolut Vodka Blue - 750ml,"KSh 1,540",26%
Sundabest Plain White Decorated Dinner Plates 6 Pcs (311009774),"KSh 12,434",19%
Durex Play Tingle Lubricant - 50ml,"KSh 36,877",29%
Oraimo 18W Dual Output 3 Ways Play Music Digital Display,"KSh 1,600",23%
"Vitron V636, 3.1CH Multimedia Bluetooth Speaker System - Black",KSh 95,15%
"Gld 32"" Smart Frameless HD LED Television - Black.","KSh 11,800",11%
"Royal 43"" Smart Frameless Full HD LED Television - Black.",KSh 332,23%
"Amtec AM-732 3.1CH Subwoofer Bluetooth System, FM/USB/SD - Black (1YR WRTY)","KSh 24,150",20%
Vitron V837 3.1 Inch Bluetooth Speaker System (1YR WRTY),"KSh 5,381",21%
"Oppo A58, 6.72'',50MP, 8GB+128GB, 4G, 5000mAh, Dual Stereo Speakers (Dual Sim)- Dazzling Green, (2YRs WRTY)","KSh 1,999",25%
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,KSh 520,25%
Starlink Standard Actuated Kit,KSh 367,6%
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),"KSh 12,699",25%
Nunix K1S Hot & Normal Standing Water Dispenser – White,"KSh 47,442",9%
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,KSh 284,15%
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)","KSh 1,949",46%
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)",KSh 826,8%
Nunix Free standing Hot and Normal -Q7n White,"KSh 1,056",12%
"Nunix 50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven(1YR WRTY)",KSh 900,25%
Nunix AK-105 - 2 In 1 Blender With Grinding Machine – 350W -  1.5L – Black,"KSh 5,950",47%
Jameson Jameson Irish Whiskey - 750 Ml,"KSh 13,696",16%
"Tecno POP 8, 6.6"", 128GB ROM+ 4GB RAM+ (4GB RAM Extended), 13MP, 4G (Dual SIM) 5000MAh - Gravity Black","KSh 21,196",9%
Nunix Nunix 7.5KG Twins Tub Washing Machine,"KSh 6,550",2%
"NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum, 30ml & Day Cream, 40ml","KSh 7,660",4%
"Vitron VB-815 - 2in1 Blender - 1.5L - 350W - White & Blue, (1YR WRTY)","KSh 26,598",19%
Rashnik Steel Cloth Drying Foldable Stand with Infinity Hooks,"KSh 1,001",49%
Ramtons RM/553 - 21 Litre Tank Wet And Dry Vacuum Cleaner - Black (1YR WRTY),"KSh 90,000",21%
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Liters - Silver (1YR WRTY),"KSh 16,999",5%
NIVEA NIVEA SUN UV Face Blemish Control - 40ml,KSh 929,6%
Oraimo Data Cable OCD-M53 2A 1M Black,"KSh 16,450",5%
"Tecno POP 8, 6.6"", 128GB + 4GB RAM (Extended to 8GB), 13MP, 4G (Dual SIM), 5000MAh - Mystery White","KSh 3,699",21%
Fay Fay Kitchen Towels Twin Pack,"KSh 1,421",8%
Nunix Nunix 100 Litres Freezer Fridge,"KSh 1,110",12%
NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum - 30ml-pack Of 2,"KSh 16,999",51%
Ballantine's Ballantine's Blended Scotch Whiskey - 750 Ml.,"KSh 1,550",26%
Oraimo Cannon 2 Pro 18W Fast Charging Charger Kit + Type-C Cable,"KSh 1,170",19%
Oraimo OEP-650 Halo Airy Wired Earphone - Black,"KSh 13,995",29%
Nunix NU-9090B 5.1 Woofer/mini Home Theatre Speaker System,"KSh 1,699",23%
Ramtons RF/130- 213l 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),"KSh 1,050",15%
Dettol Dettol Soap Herbal 175g,"KSh 13,345",11%
Absolut Absolut Vodka Blue - 750ml,"KSh 1,001",23%
Sundabest Plain White Decorated Dinner Plates 6 Pcs (311009774),"KSh 90,000",20%
Durex Play Tingle Lubricant - 50ml,"KSh 1,170",21%
Oraimo 18W Dual Output 3 Ways Play Music Digital Display,"KSh 3,465",25%
"Vitron V636, 3.1CH Multimedia Bluetooth Speaker System - Black","KSh 1,421",25%
"Gld 32"" Smart Frameless HD LED Television - Black.",KSh 780,6%
"Royal 43"" Smart Frameless Full HD LED Television - Black.","KSh 28,380",25%
"Amtec AM-732 3.1CH Subwoofer Bluetooth System, FM/USB/SD - Black (1YR WRTY)","KSh 3,685",9%
Vitron V837 3.1 Inch Bluetooth Speaker System (1YR WRTY),"KSh 22,550",15%
"Oppo A58, 6.72'',50MP, 8GB+128GB, 4G, 5000mAh, Dual Stereo Speakers (Dual Sim)- Dazzling Green, (2YRs WRTY)","KSh 1,680",46%
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,"KSh 2,199",8%
Starlink Standard Actuated Kit,"KSh 11,800",12%
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),"KSh 19,250",25%
Nunix K1S Hot & Normal Standing Water Dispenser – White,"KSh 4,769",47%
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,"KSh 1,660",16%
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)","KSh 1,540",9%
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)","KSh 12,434",2%
Nunix Free standing Hot and Normal -Q7n White,"KSh 36,877",4%
"Nunix 50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven(1YR WRTY)","KSh 1,600",19%
Nunix AK-105 - 2 In 1 Blender With Grinding Machine – 350W -  1.5L – Black,KSh 95,49%
Jameson Jameson Irish Whiskey - 750 Ml,"KSh 11,800",21%
"Tecno POP 8, 6.6"", 128GB ROM+ 4GB RAM+ (4GB RAM Extended), 13MP, 4G (Dual SIM) 5000MAh - Gravity Black",KSh 332,5%
Nunix Nunix 7.5KG Twins Tub Washing Machine,"KSh 24,150",6%
"NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum, 30ml & Day Cream, 40ml","KSh 5,381",5%
"Vitron VB-815 - 2in1 Blender - 1.5L - 350W - White & Blue, (1YR WRTY)","KSh 1,999",21%
Rashnik Steel Cloth Drying Foldable Stand with Infinity Hooks,KSh 520,8%
Ramtons RM/553 - 21 Litre Tank Wet And Dry Vacuum Cleaner - Black (1YR WRTY),KSh 367,12%
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Liters - Silver (1YR WRTY),"KSh 12,699",51%
NIVEA NIVEA SUN UV Face Blemish Control - 40ml,"KSh 47,442",26%
Oraimo Data Cable OCD-M53 2A 1M Black,KSh 284,19%
"Tecno POP 8, 6.6"", 128GB + 4GB RAM (Extended to 8GB), 13MP, 4G (Dual SIM), 5000MAh - Mystery White","KSh 1,949",29%
Fay Fay Kitchen Towels Twin Pack,KSh 826,23%
Nunix Nunix 100 Litres Freezer Fridge,"KSh 1,056",15%
NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum - 30ml-pack Of 2,KSh 900,11%
Ballantine's Ballantine's Blended Scotch Whiskey - 750 Ml.,"KSh 5,950",23%
Oraimo Cannon 2 Pro 18W Fast Charging Charger Kit + Type-C Cable,"KSh 13,696",20%
Oraimo OEP-650 Halo Airy Wired Earphone - Black,"KSh 21,196",21%
Nunix NU-9090B 5.1 Woofer/mini Home Theatre Speaker System,"KSh 6,550",25%
Ramtons RF/130- 213l 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),"KSh 7,660",25%
Dettol Dettol Soap Herbal 175g,"KSh 26,598",6%
Absolut Absolut Vodka Blue - 750ml,"KSh 1,001",25%
Sundabest Plain White Decorated Dinner Plates 6 Pcs (311009774),"KSh 90,000",9%
Durex Play Tingle Lubricant - 50ml,"KSh 16,999",15%
Oraimo 18W Dual Output 3 Ways Play Music Digital Display,KSh 929,46%
"Vitron V636, 3.1CH Multimedia Bluetooth Speaker System - Black","KSh 16,450",8%
"Gld 32"" Smart Frameless HD LED Television - Black.","KSh 3,699",12%
"Royal 43"" Smart Frameless Full HD LED Television - Black.","KSh 1,421",25%
"Amtec AM-732 3.1CH Subwoofer Bluetooth System, FM/USB/SD - Black (1YR WRTY)","KSh 1,110",47%
Vitron V837 3.1 Inch Bluetooth Speaker System (1YR WRTY),"KSh 16,999",16%
"Oppo A58, 6.72'',50MP, 8GB+128GB, 4G, 5000mAh, Dual Stereo Speakers (Dual Sim)- Dazzling Green, (2YRs WRTY)","KSh 1,550",9%
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,"KSh 1,170",2%
Starlink Standard Actuated Kit,"KSh 13,995",4%
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),"KSh 1,699",19%
Nunix K1S Hot & Normal Standing Water Dispenser – White,"KSh 1,050",49%
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,"KSh 13,345",21%
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)","KSh 1,001",5%
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)","KSh 90,000",6%
Nunix Free standing Hot and Normal -Q7n White,"KSh 1,170",5%
"Nunix 50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven(1YR WRTY)","KSh 3,465",21%
Nunix AK-105 - 2 In 1 Blender With Grinding Machine – 350W -  1.5L – Black,"KSh 1,421",8%
Jameson Jameson Irish Whiskey - 750 Ml,KSh 780,12%
"Tecno POP 8, 6.6"", 128GB ROM+ 4GB RAM+ (4GB RAM Extended), 13MP, 4G (Dual SIM) 5000MAh - Gravity Black","KSh 28,380",51%
Nunix Nunix 7.5KG Twins Tub Washing Machine,"KSh 3,685",26%
"NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum, 30ml & Day Cream, 40ml","KSh 22,550",19%
"Vitron VB-815 - 2in1 Blender - 1.5L - 350W - White & Blue, (1YR WRTY)","KSh 1,680",29%
Rashnik Steel Cloth Drying Foldable Stand with Infinity Hooks,"KSh 2,199",23%
Ramtons RM/553 - 21 Litre Tank Wet And Dry Vacuum Cleaner - Black (1YR WRTY),"KSh 11,800",15%
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Liters - Silver (1YR WRTY),"KSh 19,250",11%
NIVEA NIVEA SUN UV Face Blemish Control - 40ml,"KSh 4,769",23%
Oraimo Data Cable OCD-M53 2A 1M Black,"KSh 1,660",20%
