name,price,Discount
Oraimo Cannon 2 Pro 18W Fast Charging Charger Kit + Type-C Cable,"KSh 1,170",23%
Oraimo OEP-650 Halo Airy Wired Earphone - Black,"KSh 13,995",15%
Nunix NU-9090B 5.1 Woofer/mini Home Theatre Speaker System,"KSh 1,699",11%
Ramtons RF/130- 213l 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),"KSh 1,050",23%
Dettol Dettol Soap Herbal 175g,"KSh 13,345",20%
Absolut Absolut Vodka Blue - 750ml,"KSh 1,001",21%
Sundabest Plain White Decorated Dinner Plates 6 Pcs (311009774),"KSh 90,000",25%
Durex Play Tingle Lubricant - 50ml,"KSh 1,170",25%
Oraimo 18W Dual Output 3 Ways Play Music Digital Display,"KSh 3,465",6%
"Vitron V636, 3.1CH Multimedia Bluetooth Speaker System - Black","KSh 1,421",25%
"Gld 32"" Smart Frameless HD LED Television - Black.",KSh 780,9%
"Royal 43"" Smart Frameless Full HD LED Television - Black.","KSh 28,380",15%
"Amtec AM-732 3.1CH Subwoofer Bluetooth System, FM/USB/SD - Black (1YR WRTY)","KSh 3,685",46%
Vitron V837 3.1 Inch Bluetooth Speaker System (1YR WRTY),"KSh 22,550",8%
"Oppo A58, 6.72'',50MP, 8GB+128GB, 4G, 5000mAh, Dual Stereo Speakers (Dual Sim)- Dazzling Green, (2YRs WRTY)","KSh 1,680",12%
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,"KSh 2,199",25%
Starlink Standard Actuated Kit,"KSh 11,800",47%
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),"KSh 19,250",16%
Nunix K1S Hot & Normal Standing Water Dispenser – White,"KSh 4,769",9%
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,"KSh 1,660",2%
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)","KSh 1,540",4%
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)","KSh 12,434",19%
Nunix Free standing Hot and Normal -Q7n White,"KSh 36,877",49%
"Nunix 50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven(1YR WRTY)","KSh 1,600",21%
Nunix AK-105 - 2 In 1 Blender With Grinding Machine – 350W -  1.5L – Black,KSh 95,5%
Jameson Jameson Irish Whiskey - 750 Ml,"KSh 11,800",6%
"Tecno POP 8, 6.6"", 128GB ROM+ 4GB RAM+ (4GB RAM Extended), 13MP, 4G (Dual SIM) 5000MAh - Gravity Black",KSh 332,5%
Nunix Nunix 7.5KG Twins Tub Washing Machine,"KSh 24,150",21%
"NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum, 30ml & Day Cream, 40ml","KSh 5,381",8%
"Vitron VB-815 - 2in1 Blender - 1.5L - 350W - White & Blue, (1YR WRTY)","KSh 1,999",12%
Rashnik Steel Cloth Drying Foldable Stand with Infinity Hooks,KSh 520,51%
Ramtons RM/553 - 21 Litre Tank Wet And Dry Vacuum Cleaner - Black (1YR WRTY),KSh 367,26%
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Liters - Silver (1YR WRTY),"KSh 12,699",19%
NIVEA NIVEA SUN UV Face Blemish Control - 40ml,"KSh 47,442",29%
Oraimo Data Cable OCD-M53 2A 1M Black,KSh 284,23%
"Tecno POP 8, 6.6"", 128GB + 4GB RAM (Extended to 8GB), 13MP, 4G (Dual SIM), 5000MAh - Mystery White","KSh 1,949",15%
Fay Fay Kitchen Towels Twin Pack,KSh 826,11%
Nunix Nunix 100 Litres Freezer Fridge,"KSh 1,056",23%
NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum - 30ml-pack Of 2,KSh 900,20%
Ballantine's Ballantine's Blended Scotch Whiskey - 750 Ml.,"KSh 5,950",21%
Oraimo Cannon 2 Pro 18W Fast Charging Charger Kit + Type-C Cable,"KSh 13,696",25%
Oraimo OEP-650 Halo Airy Wired Earphone - Black,"KSh 21,196",25%
Nunix NU-9090B 5.1 Woofer/mini Home Theatre Speaker System,"KSh 6,550",6%
Ramtons RF/130- 213l 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),"KSh 7,660",25%
Dettol Dettol Soap Herbal 175g,"KSh 26,598",9%
Absolut Absolut Vodka Blue - 750ml,"KSh 1,001",15%
Sundabest Plain White Decorated Dinner Plates 6 Pcs (311009774),"KSh 90,000",46%
Durex Play Tingle Lubricant - 50ml,"KSh 16,999",8%
Oraimo 18W Dual Output 3 Ways Play Music Digital Display,KSh 929,12%
"Vitron V636, 3.1CH Multimedia Bluetooth Speaker System - Black","KSh 16,450",25%
"Gld 32"" Smart Frameless HD LED Television - Black.","KSh 3,699",47%
"Royal 43"" Smart Frameless Full HD LED Television - Black.","KSh 1,421",16%
"Amtec AM-732 3.1CH Subwoofer Bluetooth System, FM/USB/SD - Black (1YR WRTY)","KSh 1,110",9%
Vitron V837 3.1 Inch Bluetooth Speaker System (1YR WRTY),"KSh 16,999",2%
"Oppo A58, 6.72'',50MP, 8GB+128GB, 4G, 5000mAh, Dual Stereo Speakers (Dual Sim)- Dazzling Green, (2YRs WRTY)","KSh 1,550",4%
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,"KSh 1,170",19%
Starlink Standard Actuated Kit,"KSh 13,995",49%
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),"KSh 1,699",21%
Nunix K1S Hot & Normal Standing Water Dispenser – White,"KSh 1,050",5%
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,"KSh 13,345",6%
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)","KSh 1,001",5%
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)","KSh 90,000",21%
Nunix Free standing Hot and Normal -Q7n White,"KSh 1,170",8%
"Nunix 50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven(1YR WRTY)","KSh 3,465",12%
Nunix AK-105 - 2 In 1 Blender With Grinding Machine – 350W -  1.5L – Black,"KSh 1,421",51%
Jameson Jameson Irish Whiskey - 750 Ml,KSh 780,26%
"Tecno POP 8, 6.6"", 128GB ROM+ 4GB RAM+ (4GB RAM Extended), 13MP, 4G (Dual SIM) 5000MAh - Gravity Black","KSh 28,380",19%
Nunix Nunix 7.5KG Twins Tub Washing Machine,"KSh 3,685",29%
"NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum, 30ml & Day Cream, 40ml","KSh 22,550",23%
"Vitron VB-815 - 2in1 Blender - 1.5L - 350W - White & Blue, (1YR WRTY)","KSh 1,680",15%
Rashnik Steel Cloth Drying Foldable Stand with Infinity Hooks,"KSh 2,199",11%
Ramtons RM/553 - 21 Litre Tank Wet And Dry Vacuum Cleaner - Black (1YR WRTY),"KSh 11,800",23%
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Liters - Silver (1YR WRTY),"KSh 19,250",20%
NIVEA NIVEA SUN UV Face Blemish Control - 40ml,"KSh 4,769",21%
Oraimo Data Cable OCD-M53 2A 1M Black,"KSh 1,660",25%
"Tecno POP 8, 6.6"", 128GB + 4GB RAM (Extended to 8GB), 13MP, 4G (Dual SIM), 5000MAh - Mystery White","KSh 1,540",25%
Fay Fay Kitchen Towels Twin Pack,"KSh 12,434",6%
Nunix Nunix 100 Litres Freezer Fridge,"KSh 36,877",25%
NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum - 30ml-pack Of 2,"KSh 1,600",9%
Ballantine's Ballantine's Blended Scotch Whiskey - 750 Ml.,KSh 95,15%
Oraimo Cannon 2 Pro 18W Fast Charging Charger Kit + Type-C Cable,"KSh 11,800",46%
Oraimo OEP-650 Halo Airy Wired Earphone - Black,KSh 332,8%
Nunix NU-9090B 5.1 Woofer/mini Home Theatre Speaker System,"KSh 24,150",12%
Ramtons RF/130- 213l 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),"KSh 5,381",25%
Dettol Dettol Soap Herbal 175g,"KSh 1,999",47%
Absolut Absolut Vodka Blue - 750ml,KSh 520,16%
Sundabest Plain White Decorated Dinner Plates 6 Pcs (311009774),KSh 367,9%
Durex Play Tingle Lubricant - 50ml,"KSh 12,699",2%
Oraimo 18W Dual Output 3 Ways Play Music Digital Display,"KSh 47,442",4%
"Vitron V636, 3.1CH Multimedia Bluetooth Speaker System - Black",KSh 284,19%
"Gld 32"" Smart Frameless HD LED Television - Black.","KSh 1,949",49%
"Royal 43"" Smart Frameless Full HD LED Television - Black.",KSh 826,21%
"Amtec AM-732 3.1CH Subwoofer Bluetooth System, FM/USB/SD - Black (1YR WRTY)","KSh 1,056",5%
Vitron V837 3.1 Inch Bluetooth Speaker System (1YR WRTY),KSh 900,6%
"Oppo A58, 6.72'',50MP, 8GB+128GB, 4G, 5000mAh, Dual Stereo Speakers (Dual Sim)- Dazzling Green, (2YRs WRTY)","KSh 5,950",5%
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,"KSh 13,696",21%
Starlink Standard Actuated Kit,"KSh 21,196",8%
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),"KSh 6,550",12%
Nunix K1S Hot & Normal Standing Water Dispenser – White,"KSh 7,660",51%
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,"KSh 26,598",26%
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)","KSh 1,001",19%
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)","KSh 90,000",29%
Nunix Free standing Hot and Normal -Q7n White,"KSh 16,999",23%
"Nunix 50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven(1YR WRTY)",KSh 929,15%
Nunix AK-105 - 2 In 1 Blender With Grinding Machine – 350W -  1.5L – Black,"KSh 16,450",11%
Jameson Jameson Irish Whiskey - 750 Ml,"KSh 3,699",23%
"Tecno POP 8, 6.6"", 128GB ROM+ 4GB RAM+ (4GB RAM Extended), 13MP, 4G (Dual SIM) 5000MAh - Gravity Black","KSh 1,421",20%
Nunix Nunix 7.5KG Twins Tub Washing Machine,"KSh 1,110",21%
"NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum, 30ml & Day Cream, 40ml","KSh 16,999",25%
